QUESTION,ANSWER
How do I cancel my Order? ,Tap on “My Orders” section under the main menu of your App/Website/M-site and then select the item or order you want to cancel 
I just cancelled my order. When will I receive my refund? ,"If you had selected Cash on Delivery, there is no amount to be refunded because you haven't paid for your order. For payments made via Credit Card, Debit Card, Net Banking, or Wallet you will receive refund into the source account within 7-10 days from the time of order cancellation. If payment was made by redeeming PhonePe wallet balance then, then refund will be instant post order cancellation, which can be later transferred into your bank account, by contacting PhonePe customer support team."
What is Myntra's Return and Exchange Policy? How does it work? ,"Myntra's returns and exchange policy gives you an option to return or exchange items purchased on Myntra for any reason within the specified return/exchange period (check product details page for the same) Returns will be picked from the same address where the product is delivered. Feel free to try on a product but all we ask is that the product remains unused and is preserved in its original condition along with the tags and packaging. In case a Seal Tag is received with the item, ensure that it remains attached & intact with the product to avoid any hassles in the event of a return/exchange. There are two ways to return the product to us:
Pick up: In most locations, we offer a free pick up service. You will see a pickup option when you submit a return request.
Self-Ship: If we don't offer a pick up at your location. In such cases, we will credit the shipping costs in the form of Myntra credits provided the product meets the return policy and you have shared scan copy of the courier receipt with us.
During Pick Up, our delivery agent may do a quality check on the return. For a successful pick up, we will initiate a doorstep refund for the return amount into the refund mode selected at the time of initiating the return request. This doorstep refund may not be applicable for some pin codes in which case refund will be initiated after the product has been received at our warehouse and has passed a quality check. If the picked up product does not pass the quality check, we shall ship it back to you. If you choose to exchange the item for reason of mismatch of size or receipt of a defective item, you will be provided with a replacement of the item, free of cost. However all exchanges are subject to stock availability and subject to your address being serviceable for an exchange. If you choose to exchange an item, our delivery representative will deliver the new item to you and simultaneously pick up the original item from you. Please note that we offer you an option to exchange items purchased by you on Myntra for same or different sizes of same style or for any other item of the same or different value from Myntra within the specified exchange period subject to your address being serviceable for an exchange.
The following EXCEPTIONS and RULES apply to this Policy:
Swarovski, Precious Jewelry, Rayban Sunglasses, Socks, Briefs, Shapewear Bottoms, any Lingerie Set that includes a Brief, Swimwear, Mittens, Wrist-Bands cannot be exchanged or returned.
Some products like fine jewellery, watches and selected products which are susceptible to damage can only be returned/exchanged for a limited number of days. Certain products like sherwanis can only be exchanged not returned. Please read the Product Detail Page to see the number of days upto which a product can be returned/exchanged, post-delivery.
Due to the intimate nature, we handle returns for certain Innerwear, Sleepwear and Lingerie items differently. Only self-ship return is allowed for such items, hence pickup facility will not be available. Also, these items cannot be exchanged.
All items to be returned or exchanged must be unused and in their original condition with all original tags and packaging intact (for e.g. shoes must be packed in the original shoe box).
Under Exchange Policy,
Note: Exchange/Replacement will be delivered at the same address where the original product was delivered. In case you wish to receive an exchange to a new address, we recommend returning the item for a refund and placing a new order with the new address.
a) If you choose to exchange the item purchased by you on Myntra within the specified exchange period for the same size or different size of same style, you will be provided with a replacement of the item, free of cost.
b) If you choose to exchange item purchased by you on Myntra for any other item of the same or different value from Myntra. In such case, if exchanged item is of the higher value, differences in amount will be charged to you and if exchanged item is of the lower value, differences in amount will be refunded to you post successful pick up of original item from you.
c) Net amount paid by you (excluding instant cashback/discount) to purchase original item will be considered to calculate difference in amount of original and exchanged item which will be payable by you or refundable by Myntra as the case may be, for an exchange.
d) Applicable refund for exchange will be trigger post successful pick of original item from you.
6) All exchanges are subject to stock availability and subject to your address being serviceable for an exchange.
7) Item cannot be exchanged for multiple products and you are allowed to select single item for exchange. While customer can exchange multiple item at a time by initiating separate exchange request for each of the item.
8) Non- returnable products/categories cannot be exchanged.
9) Platform Handling Fee (as defined under ‘Terms of Use’) is not applicable to exchanged orders.
10) Myntra shall reserve the right to restrict exchange of the items purchased on Myntra if customer in any way breaches or misuse this policy, as determined in Myntra’s sole discretion.In case you have purchased an item which has a free gift/offer associated with it and you wish to return the main item, then you will have to return the free product as well.
11) Myntra will not be liable for the products returned by mistake. In circumstances where an extra or a different product is returned by mistake, Myntra would not be accountable for misplacement or replacement of the product and is not responsible for its delivery back to the User
12) If you self-ship your returns, kindly pack the items securely to prevent any loss or damage during transit. For all self-shipped returns, we recommend you use a reliable courier service.
13) If you self-ship your returns, your shipping costs would be reimbursed subject to your return having met our Returns and Exchange Policy and the image of the courier receipt is shared by you and validated by us. For self ship returns the refund for returned products will only be initiated if they pass through a quality check conducted at the warehouse. If the quality check fails the product will be reshipped back to you.
"
"To return a product to Myntra, please follow these steps: ","You can return products purchased from Myntra within the specified return/exchange period(check product details page for the same), except for our non-returnable products and high-value products which can only be returned for limited number of days.
Create a 'Return Request' under “My Orders” section of App/Website/M-site. Follow the screens that come up after tapping on the 'Return’ button. Please make a note of the Return ID that we generate at the end of the process. Keep the item ready for pick up or ship it to us basis on the return mode
We offer pick-up facility in selected locations basis serviceability.
If reverse pick-up option is not available at your location you can self-ship the product to us
Pick-up: If you select to schedule a pick-up, please place the product in a packet and the product must be unused, unwashed and all the tags are intact.Keep the packet ready and open to expedite the return pickup. Our staff may initially examine the product at the time of pickup and a further quality check of the product will be conducted at our Returns Desk.
Self-ship: In case your area pincode is not eligible for “Pick-up” mode then, please self-ship the product to our Returns desk.Please pack the product and ensure product is unused, unwashed and all the tags are intact.Also, please mention Order No and Return id on a piece of paper and place it in the packet. Kindly address the package to the address of the Returns desk closest to you. We have listed out the addresses of the Returns desk in another section on this page.
We will send you a confirmation email as soon as we receive the shipment at our warehouse. At any time, you can track the status of your return request on App/Website/Msite.
NOTE: NO PRODUCTS SHALL BE ACCEPTED IF THE WARRANTY CARD IS MISSING WHILE RETURN OR EXCHANGE OF THE PRODUCTS.
"
How do I place an exchange request on Myntra? ,"If you would like to exchange products purchased from Myntra, please follow below mentioned steps:
You can create exchange for products purchased from Myntra within the specified return/exchange period (check product details page for the same) under “My Orders” section of App/Website/M-site. If your address is serviceable for exchange you will be able to proceed and generate an exchange id. Please note down your exchange id for future reference
Place the product in a packet but do not seal it. Please ensure product is unused, unwashed with all the tags intact.
Hand over the original product to our delivery staff and receive the exchange item from him. Please ensure that you have the original item available with you at the same address which has been selected for delivery of the exchange item.
At any time, you can track the status of your exchange requests under “My Orders” of App/Website/M-site.
"
What is No Questions Asked Returns? ,"Once you create a return via App / Desktop as per the returns policy, Myntra will ensure a quick, easy and seamless returns experience for you. Our delivery agents may perform a simple quality check at your doorstep and upon acceptance of the return, your refund will be initiated immediately. "
Why has my return been put on hold despite No Questions Asked Returns Policy? ,"At the time of creating a return, customers are requested to confirm (via a check box click) that the product being returned is unused with original tags intact. At the time of pickup, if the above conditions are not found to be met, your return may be put on hold pending further clarification with our Contact Center. "
What is Instant Refunds? ,"Upon successful pickup of the return product at your doorstep, Myntra will instantly initiate the refund to your source account or chosen method of refund. Instant Refunds is not available in a few select pin codes and for all self ship returns. "
Why have I not received my Refund despite Instant Refunds policy? ,"For refunds taken into source accounts via UPI & Wallet, your refund will reflect instantly(48hrs in case of delay).For refunds taken to source accounts (that is Credit Card, Debit Card and Netbanking), your refund may take 5 business days to reflect in your account depending upon your bank partner. "
How long would it take me to receive the refund of the returned product? ,"After the refund has been initiated by Myntra as per the Returns Policy, the refund amount is expected to reflect in the customer account as per the following timelines:
Debit card/Credit Card/Net Banking/EMI- 7 days
UPI - 5 days
Myntra Credit/Super coins/Gift card/LP - Instant (upto 2 days in case of delay)
Wallets, ex PhonePe, PayZap etc - Instant (upto 2 days in case of delay)
Simple Paylater & Pay in 3 - Instant (upto 5 days in case of delay)
Lazypay - Instant (upto 5 days in case of delay)
Please note, Myntra initiates the refund upon successful return pick up, or after the returned item has reached us and quality check is successful. Therefore, the refund initiation time may vary by time taken to deliver the return to a Myntra warehouse. In case of any refund discrepancies, Myntra may at its sole discretion, request you to share with us a screenshot of your bank statement.
Note : You can maintain up to five bank accounts for NEFT/IMPS refunds and a single bank account can be linked upto five Myntra accounts. If you wish to add a new bank account over and above, please delete an existing bank account.
"
How do I return multiple products from a single order? ,"If you are returning multiple products from a single order then, you will receive a separate Return ID via e-mail for each item. If you are self-shipping the products, you can ship all the products in a single shipment. Please mention the Return IDs for all the products on a single sheet of paper and place it inside the packet. "
Does Myntra pick up the product I want to return from my location? ,"Currently, we pick up products only from selected PIN Codes. If your area pincode is serviceable, you will be able to select the pickup option when you create a Return Request on App/Website/M-site.
We will pick up the return within 4 - 7 days from the request placement date.
Please keep the return shipment ready.
"
Why has my return request been declined? ,"This may have happened, if the item you returned is used, damaged or original tags are missing. In the event that the return request is declined, the user shall not be eligible for a refund, and Myntra assumes no liability in this regard. For more details, please call our customer care. "
Why did the pick up of my product fail? ,"We make three attempts to pick up the item, if the item is not picked up in the third attempt, Pickup request will be marked as failed. You can initiate a new return request, if item meets the return criteria and is within the specified return/exchange period (check product details page for the same). For more details, please call our customer care. "
Why is my returned product re-shipped? ,"This may have happened, if the item you have returned is used, damaged or original tags or MRP tags are missing. In the event that you fail to accept the receipt of the re-shipped item, you shall continue to be not eligible for a refund, and Myntra assumes no liability with respect to the return or refund for the said re-shipped item. For more details, please call our customer care. "
How can I pay for my order at Myntra? ,"We support the following payment options at Myntra:
Cash On Delivery (available in selected pin codes)
Credit Card
Debit Card
Net banking
Gift Card
Wallet
"
How does the COD (Cash on Delivery) payment option work? ,"Myntra's Cash on Delivery option allows you to pay order value at the time of delivery for all orders between Rs. 299 and Rs. 49999. Your existing limits will be revised once, there is a delivery or order rejected against your account, from the new limit implementation logic, if required.To pay for any order using Cash on Delivery (COD) mode of payment, please select the 'Cash On Delivery' option on the payment page. Cash on Delivery option is available only in selected pincodes.However the COD limit may differ from customer to customer depending upon the order rejection percentage from a particular customers registered email id. For avoidance of doubt, 'Order Rejection Percentage' shall mean any undelivered orders which are returned from the address provided by the customer even, after three successful delivery attempts. In event of COD limit breach, your order will be cancelled and you will have to place a new order using Pre-payment options.
Further, the COD limit for any user may get decreased to Rs. 24,999, Rs.1500, Rs.0 basis on order rejection percentage and can be reset to Rs.49,999 basis on Order acceptance percentage and number of prepaid orders placed, post limit decrease.
"
"Does Myntra accept Rs. 2,000 currency notes for Cash on Delivery (COD) payments? ","Effective September 20, 2023, we will no longer be able to accept Rs. 2,000 currency notes for Cash on Delivery (COD) orders, in compliance with the guidelines provided by the Reserve Bank of India on May 19, 2023. "
"I have placed a Cash on Delivery (COD) order and intended to pay with Rs. 2,000 notes, but the Delivery Associate is not accepting them. What should I do in this situation? ","As per the RBI laid guidelines, Myntra is not accepting Rs. 2000 notes for COD, effective September 20, 2023.
Instead, you can choose a UPI method of payment or use alternate currency notes to make the payment.
In case you are unable to arrange for an alternate currency, please consider rescheduling your delivery. Request the Style Delivery agent to reattempt the delivery.
"
Why can't I see the COD option on my payment page? ,"If you do not see a COD option on your payment page, this may be due to one of the following reasons:
Your order value may be less than Rs. 299 or over Rs. 49,999.
You may have placed another order using the COD option which is pending delivery. If the amount of this order when added to your current order exceeds Rs. 49,999, then the COD option will be disabled temporarily.For all Tanishq products COD limit is Rs. 15,000
"
What is COD limit? ,"Myntra reserves the right to determine the COD limit for every customer and/or orders. The COD limit includes any undelivered, unpaid orders and any new orders being placed. "
What is Myntra's Cash/Pay on Delivery Fee (COD) Fee? ,We apply a small fee for Cash/Pay on Delivery orders towards the handling costs of such orders. 
Refund Policy for Cash/Pay on Delivery Fee (COD): ,"The COD fee is non-refundable in case of an unlikely event of cancellation (partial or full) or return of the order. Please note that the order value considered for refunds is calculated after all discounts, VAT/ GST, or any other applicable charges have been applied. "
I want to know about EMI (credit card) payment option? ,"EMI (Credit Card) is a convenient payment option that you can choose to pay for the order in easy installments to the credit card issuing bank. The option is available only on credit cards issued by the following banks:
HDFC
ICICI
SBI
Axis
Amex
HSBC
Induslnd
Kotak
RBL
Standard Chartered.
This EMI option is facilitated by the card issuing bank. The EMI eligibility, payment plan and refund rules are solely on the internal discretion and approvals of the bank.
"
How do I make payment using EMI (Credit Card) option? ,"Add the desired products to your Myntra shopping bag, proceed to checkout, select delivery address and proceed to payment. On payment page, select EMI (Credit Card) under payment options and follow these simple steps:
Select your Credit Card issuing bank you wish to pay from
Select the repayment duration (3, 6, 9, 12, 18 or 24 months). The interest rate, monthly EMI and total interest paid will be displayed.
Enter your Credit Card details
Click ‘Pay Now’.
The order will be confirmed and shipped on successful payment.
"
What is the eligibility criteria to avail EMI option? ,"EMI is available for all products on Myntra except, Jewellery products. Also, the payment option is available only above a minimum order value which varies from bank to bank. For given order value, only the eligible banks will be displayed under the issuing bank list on the EMI payment page. "
What should I do if my payment fails? ,"Please retry making the payment after ensuring that the information entered is accurate, including all account details, billing addresses and passwords. If your payment still fails, you can use the Cash on Delivery (COD) payment option, if available on the payment page to place your order. If your payment is debited from your account after a payment failure, it will be credited back within 7-10 days, after we receive a confirmation from the bank. "
How can I add money into Myntra Credit? ,"You may add money in Myntra Credit in following ways -
Refunds to Myntra Credit - You may take refunds of returned items.
Add a Myntra Gift Card - Add your Myntra Gift Card to Myntra Credit
Top Up - You may top-up Myntra Credit by available online payment methods at Myntra App or Website.
"
What Payment Methods can I use to top up my Myntra Credit? ,"You may use Net Banking, Credit/Debit Cards, PhonePe wallet.
However, Cash on delivery, International Cards, Gift Cards are not acceptable modes of payment for the top-up of Myntra Credit. The acceptable payment methods shall be visible to you at the checkout.
"
How much money can I add in my Myntra Credit? ,"You may keep Myntra Credits of value up to Rs. 50,000, after that you may still receive your refunds to Myntra Credit, but you shall not be able to top-up it further. "
Can I redeem Myntra Credit to Cash? ,"You may not redeem Myntra Credit for Cash. Myntra Credit is also not allowed to be transferred to Bank, Wallets or other users accounts. "
How do I use Myntra Credit to buy items on Myntra App/Website? ,You shall be able to use Myntra Credit as a Payment method available at the checkout. Gift Cards and Myntra Credit Top Up can not be done by payment with Myntra Credit 
Can I transfer my Myntra Credits to another Myntra Account? ,Myntra Credit cannot be transferred to other Myntra users accounts. It can also not be used to pay for purchased being made by other Myntra Account users. 
What happens to my Myntra Credit if I don’t use Myntra App for over 1 year? ,"Your Myntra Credit account stays active, however please note that every credit transaction into Myntra Credit comes with an expiry time, at which a part or full amount from your Myntra Credit will expire. The user shall be sent a reminder about the expiry of the Myntra Credits one month in advance, by an email to the registered email id. "
What happens if someone uses Myntra Credit from my Myntra account without my permission? ,"You need to protect your Myntra Account. If someone gets unauthorized access to your Myntra Account, they may use your Myntra Credit to purchase products at Myntra on your behalf without your knowledge. "
"What happens if I return the Items which I have bought with Myntra Credit?

","The refunded amount of these returned items shall be added to your Myntra Credit.
"
Can I pay for an Item partially from Myntra Credit and Partially from other payment options? ,"Yes, you may use other payment methods available to pay along with Myntra Credit. However, the money shall be deducted from Myntra Credit first and the remaining amount can be paid through other available online payment methods. "
Can I decide the amount which I can pay from the Myntra Credit and the rest from other payment options? ,"If you have balance in your Myntra Credit, then that will be used first. The remaining amount, if any, might be paid through other available online payment methods. "
"Can I decide to not pay through Myntra Credit, even though I might have amount available? ","If user has Myntra Credit balance, then it is up to the user to use it, however if Myntra Credit is being used then the order value will first be taken from Myntra Credit and the remaining order value, if any, shall be paid by other available online payment method. "
What is the maximum validity of Myntra Credit? ,"Myntra Credit has maximum expiry time of 1 year for refunds and top ups. For each credit to Myntra Credit, you shall see a corresponding expiry date for the balance. Please ensure that you use the amount before expiry, after that it shall lapse. "
Is there any minimum amount to be maintained in Myntra Credit Account? ,There is no minimum amount to keep in Myntra Credit. It can go upto 0.00 as well. 
What are the benefits of taking refund to Myntra Credit? ,"Faster Check-out by using Myntra Credit
Don’t wait for refunds to source which take (0-7+ days) and use money to buy other products immediately after return refund.
"
How do I apply a coupon on my order?,You can apply a coupon on cart page before order placement. The complete list of your unused and valid coupons will be available under “My Coupons” tab of App/Website/M-site. 
Why will 'My Cashback' not be available on Myntra? ,"To make your shopping experience easier and simpler, 'My Cashback' will be replaced by PhonePe. PhonePe wallet can be used as a payment option on Myntra and other PhonePe partners. To use your PhonePe balance, you will have to activate/verify your PhonePe account on Myntra. "
How can I access 'My Cashback' balance transferred to PhonePe wallet? ,"To access your PhonePe balance, you have to login to your Myntra account, click on ‘My Account’ then on ‘PhonePe wallet’. Also, PhonePe wallet balance can be viewed and applied on payment page at the time of placing an order. "
What is discount capping on coupons? ,"For certain products there may be policies restricting maximum discount (including product discount and coupon discount) to a fixed percentage of product MRP. In such cases, the discount on certain coupons might get capped. Please check Cart for final coupon discount value applied. "
"I am a PhonePe user, how can I link my PhonePe account on Myntra? ","Follow these instructions to link your PhonePe account to your Myntra account:
Login to your Myntra account
Click on 'My Account' and then on, 'PhonePe wallet'
Click on 'Add PhonePe Account'
Sign in with your PhonePe account
"
Can I link multiple Myntra accounts to the same PhonePe account? ,"Only one Myntra account can be linked to one PhonePe wallet account. When you link a Myntra account to a PhonePe wallet which is already linked to some other Myntra account, the wallet will be automatically de-linked from the old Myntra account. "
What is the maximum balance that I can have in PhonePe wallet and How do I check my balance? ,"You can store up to Rs. 10,000 as wallet balance. To view your PhonePe wallet balance, login to your Myntra account, click or tap on 'My Account' and then on PhonePe wallet. You can also view the PhonePe wallet balance on the payment page at the time of order placement. "
What happens when I return an item purchased using the PhonePe wallet? ,Partial or full Payment made through PhonePe wallet will be refunded to the same PhonePe wallet account. 
How can I purchase Myntra Gift Card? ,"To purchase Myntra Gift card, please follow below mentioned steps:
click on Gift Card option on Myntra
Then, on 'Buy Gift Card' option
Enter recipient email address
Select or enter the Gift Card value
Make payment using your credit card, debit card or net banking
On successful payment, the Gift Card details will be sent to the recipients email address.
"
I just received a Myntra Gift Card. How do I use it? ,"For making a purchase with your Gift Card on Myntra App/website simply enter your 16 digit Gift card number and 6 digit PIN at the checkout page.The purchase amount will be deducted from your Gift Card's available balance. Follow the below mentioned steps to redeem the gift card:
Click on ‘Place Order’
Once you’ve reviewed and confirmed your address, click on ‘Proceed to Payment’
Select ‘Gift Card’ from ‘Other Payment Options’
Enter your 16 digit gift card code and 6 digit PIN
Click on ‘Apply’ to redeem the balance.
"
How do I check the available balance or expiry date on my Gift Card? ,"To check Gift Card balance, click on Gift Card section on Myntra then, enter 16 digit card no. and 6 digit pin "
Does Myntra Gift Cards expire? ,"Yes, Myntra Gift Card expires in 12 months from date of issue. "
When is the Myntra issued Gift Card sent to the recipient? ,The Gift Card email is typically sent to the recipient within 24 hours of your purchase. If a Gift Card has not arrived within a reasonable time-frame please ensure that recipient checks e-mail'Spam/Junk' inbox before contacting Myntra Customer Support Team. 
How do I cancel a Gift Card? ,"For Myntra issued giftcards, we will not be able to perform cancellations and refunds after you have placed the order. Please review your order to ensure value entered is correct and the recipient details are accurate before completing your purchase.
Gift cards purchased from different merchants, you should contact the business provider or establishment who you purchased the Gift Card from, to cancel it.
"
What happens if I need to return something I purchased with my Gift Card? ,"Partial or full Payment made through Gift Card will be refunded to the same Gift Card.
"
How many Gift Cards can be used in one transaction? ,"If you have received a Gift Card, you are eligible to use only one Gift Card in one transaction.
"
What is Open Box Delivery? ,"Open Box delivery is a service by Myntra where our delivery partners will open the outer as well as the brand packet for showing the contents to the customer after taking customer’s consent. After the customer is satisfied with the product, OTP must be shared by the customer with the delivery partner to hand over the product to the customer and complete the process of Open Box Delivery. "
Is this Service available everywhere? ,"Open Box Delivery will only be available for select pincodes.
"
Is Open box delivery a free service? ,"Yes, Open Box Delivery is a free service. You can enjoy the benefits of having your package opened in front of you without incurring any additional charges.
"
"In the case of COD, when should I make payment? Before or After Open Box Delivery? ","To avail of Open Box Delivery, it is necessary to make the payment first. After making the payment, the delivery partner will start the unboxing procedure to show the product to the customer. Once the package is opened in front of you, you have the opportunity to check the contents of the order. If you discover that the product is missing, damaged, or significantly different from what you ordered, you have the option to return the product immediately and get the on-spot refund immediately. "
What will happen if the product is found to be missing/damaged/wrong (Completely different from what I ordered) at the time of the delivery? ,"In case you find the product or parts of the product to be missing, damaged or completely different from what you ordered, please do not accept it and ask our delivery partner to take it back. In case of COD orders, you'll get your refund immediately from our delivery partner. In case of prepaid orders, you'll get a refund credited back to the source. "
Can I try the product to check size and fit issue? ,"Customers can try their products at their convenience after the Open Box Delivery has been successfully completed and the product has been handed over to the customer. In case of any size and fit issues, the customer needs to raise a separate return/exchange request. "
Can I get a replacement instead of a refund in case of wrong/ damaged/ Missing product is found at the time of delivery? ,"The Open Box Delivery feature does not allow replacement or exchange if the customer marks the product as Wrong/Damaged/Missing. Once the customer confirms that they do not want to receive the product owing to the above reasons, only refund can be enabled.However, if the customer is satisfied with the contents of the product and accepts the product, then the customer will have the option to exchange the product for a different size, color and also anyother product on the platform. "
